r (m)	z (m)	Br (T)	Bz (T)	B (T)	Theta (°)	Ic (A)	I (A)	I/Ic (%)
0.003735	-0.107898	-0.000603	0.023141	0.023148	91.492494	--	0.000000	--
0.004549	-0.109166	-0.035560	0.012637	0.037738	160.436723	--	0.000000	--
0.001082	-0.107799	-0.000676	0.023771	0.023780	91.628090	--	0.000000	--
0.004614	-0.108834	-0.038402	0.012314	0.040329	162.220656	--	0.000000	--
0.000714	-0.107951	-0.001809	0.025298	0.025363	94.089795	--	0.000000	--
0.002102	-0.107278	-0.001116	0.023125	0.023152	92.763889	--	0.000000	--
0.002572	-0.107247	-0.001172	0.022991	0.023021	92.918283	--	0.000000	--
0.000015	-0.108521	-0.000000	0.033258	0.033258	90.000000	--	0.000000	--
0.000454	-0.107989	0.001581	0.020916	0.020975	85.676291	--	0.000000	--
0.001631	-0.107253	-0.001118	0.023452	0.023479	92.730434	--	0.000000	--
0.003301	-0.107392	-0.000157	0.022898	0.022899	90.393847	--	0.000000	--
0.000085	-0.108390	0.001087	0.020907	0.020935	87.023812	--	0.000000	--
0.001406	-0.107347	0.000626	0.022498	0.022507	88.406030	--	0.000000	--
0.000031	-0.108499	0.000135	0.016669	0.016670	89.536909	--	0.000000	--
0.000070	-0.108444	0.000312	0.026058	0.026060	89.314316	--	0.000000	--
0.001144	-0.107603	0.000392	0.022075	0.022079	88.982525	--	0.000000	--
0.003044	-0.107235	-0.001130	0.022959	0.022987	92.818287	--	0.000000	--
0.000108	-0.108207	-0.008934	0.020807	0.022644	113.238283	--	0.000000	--
0.000830	-0.107799	0.000812	0.020636	0.020652	87.745444	--	0.000000	--
0.004864	-0.109559	-0.037615	0.006090	0.038104	170.803035	--	0.000000	--
0.004871	-0.109264	-0.036643	0.006258	0.037173	170.308698	--	0.000000	--
0.000047	-0.108365	-0.007237	0.017923	0.019329	111.988676	--	0.000000	--
0.003963	-0.107711	-0.001280	0.022459	0.022495	93.261514	--	0.000000	--
0.004488	-0.108138	-0.000791	0.022048	0.022062	92.055997	--	0.000000	--
0.000031	-0.108294	-0.000000	0.033766	0.033766	90.000000	--	0.000000	--
0.000328	-0.107828	-0.000158	0.026237	0.026238	90.345980	--	0.000000	--
0.000077	-0.108054	0.000000	0.033989	0.033989	90.000000	--	0.000000	--
0.000015	-0.108475	-0.000000	0.033465	0.033465	90.000000	--	0.000000	--
0.004922	-0.108638	-0.037519	0.021162	0.043076	150.575217	--	0.000000	--
0.000031	-0.108447	-0.000558	0.016647	0.016657	91.921261	--	0.000000	--
0.000152	-0.107859	0.000110	0.017087	0.017087	89.632349	--	0.000000	--
0.002100	-0.106994	-0.007589	0.022976	0.024197	108.278906	--	0.000000	--
0.003529	-0.107247	-0.001112	0.022962	0.022989	92.772441	--	0.000000	--
0.005269	-0.109688	-0.040652	-0.001775	0.040691	-177.500000	--	0.000000	--
0.002566	-0.106927	-0.009670	0.022822	0.024786	112.962796	--	0.000000	--
0.001651	-0.106995	-0.005434	0.023123	0.023754	103.225657	--	0.000000	--
0.004318	-0.107821	-0.000564	0.022981	0.022988	91.404950	--	0.000000	--
0.003035	-0.106955	-0.011486	0.022759	0.025493	116.779552	--	0.000000	--
0.001211	-0.107224	-0.001851	0.023150	0.023224	94.570876	--	0.000000	--
0.004861	-0.108270	-0.001192	0.023033	0.023064	92.962603	--	0.000000	--
0.001008	-0.107449	-0.000867	0.023812	0.023828	92.085145	--	0.000000	--
0.000016	-0.108411	-0.000000	0.033600	0.033600	90.000000	--	0.000000	--
0.003847	-0.107389	-0.000303	0.023234	0.023236	90.747197	--	0.000000	--
0.005180	-0.109067	-0.042824	0.012004	0.044474	164.341572	--	0.000000	--
0.005165	-0.108774	-0.041070	0.012434	0.042911	163.155868	--	0.000000	--
0.000725	-0.107605	0.002128	0.023985	0.024080	84.930688	--	0.000000	--
0.002329	-0.106807	-0.010307	0.026013	0.027980	111.615607	--	0.000000	--
0.001871	-0.106866	-0.008147	0.026435	0.027662	107.128082	--	0.000000	--
0.002796	-0.106780	-0.011480	0.026597	0.028969	113.345616	--	0.000000	--
0.000387	-0.107608	0.002363	0.020966	0.021099	83.570600	--	0.000000	--
0.001024	-0.107282	0.001089	0.022820	0.022846	87.268058	--	0.000000	--
0.001433	-0.106908	-0.007128	0.025021	0.026017	105.902107	--	0.000000	--
0.003499	-0.106846	-0.013398	0.022833	0.026473	120.402677	--	0.000000	--
0.000075	-0.107662	-0.000000	0.034363	0.034363	90.000000	--	0.000000	--
0.001217	-0.107043	-0.003045	0.023022	0.023223	97.534937	--	0.000000	--
0.000841	-0.107451	0.000480	0.021843	0.021848	88.742054	--	0.000000	--
0.003262	-0.106712	-0.013787	0.026450	0.029827	117.530791	--	0.000000	--
0.005664	-0.109435	-0.045690	0.006567	0.046159	171.821142	--	0.000000	--
0.000543	-0.107542	-0.001402	0.023146	0.023188	93.465405	--	0.000000	--
0.004513	-0.107485	-0.001082	0.022502	0.022528	92.753895	--	0.000000	--
0.005566	-0.109109	-0.041308	0.008051	0.042085	168.971032	--	0.000000	--
0.004213	-0.107210	-0.002228	0.022964	0.023072	95.541644	--	0.000000	--
0.005092	-0.108117	-0.001633	0.022460	0.022519	94.159677	--	0.000000	--
0.000279	-0.107476	-0.000727	0.025462	0.025473	91.636268	--	0.000000	--
0.000143	-0.107498	0.001391	0.017442	0.017498	85.439267	--	0.000000	--
0.005452	-0.108579	-0.044053	0.020394	0.048545	155.158962	--	0.000000	--
0.006151	-0.109590	-0.044809	-0.002741	0.044892	-176.500000	--	0.000000	--
